,,兵庫,兵庫,兵庫,兵庫,兵庫,兵庫,兵庫,兵庫,兵庫,大阪,大阪,大阪,大阪,大阪,大阪,大阪,大阪,大阪,大阪
,,神戸,神戸,神戸,神戸,神戸,神戸,神戸,神戸,神戸,大阪,大阪,大阪,大阪,大阪,大阪,大阪,大阪,大阪,大阪
Day,Day_Of_Week ,平均気温(℃),天気概況(昼：06時～18時),天気概況(夜：18時～翌日06時),平均現地気圧(hPa),日照時間(時間),降水量の合計(mm),降水量の合計(mm),最高気温(℃),最低気温(℃),平均気温(℃),天気概況(昼：06時～18時),天気概況(夜：18時～翌日06時),平均現地気圧(hPa),日照時間(時間),合計全天日射量(MJ/㎡),降水量の合計(mm),降水量の合計(mm),最高気温(℃),最低気温(℃)
2021_11_1,月,18.5,曇時々晴一時雨,曇時々晴,1016.6,7.8,0,0,23.4,14.3,18.3,薄曇一時晴,薄曇一時晴,1010.4,8.3,13.98,0,1,23.8,13.8
2021_11_2,火,18.4,曇時々晴,晴時々曇,1013.7,7.1,0,1,21.4,15.4,17.8,曇時々晴,晴後時々薄曇,1007.5,6.1,11.58,0,1,22.4,14.3
2021_11_3,水,17.2,晴,晴,1011.7,8.5,0,1,20.9,14,16.7,晴,晴,1005.6,8.6,13.6,0,1,21.5,13.3
2021_11_4,木,16.7,晴時々曇,晴,1012.9,9.4,0,1,20.8,13.4,15.9,晴一時薄曇,快晴,1006.8,9.8,13.88,0,1,21.3,11.8
2021_11_5,金,16.8,晴時々曇,曇時々晴,1015.7,6.5,0,1,21.4,12.6,15.6,曇時々晴,晴一時薄曇,1009.6,5.5,10.18,0,0,20.1,11.6
2021_11_6,土,16.3,×,曇後一時晴,1016.1,6.9,0,1,19.1,12.6,15.4,薄曇,曇後晴,1009.9,7.9,12.27,0,1,20,10.9
2021_11_7,日,18.7,晴,晴,1016.3,9.9,0,1,22.8,15.7,17.4,晴,曇時々晴,1010.4,8,14.08,0,1,21.8,14
2021_11_8,月,19.7,曇,雨時々曇,1011.7,2.8,2.5,0,23.6,17.4,19.4,曇,曇後雨,1005.7,1.2,5.75,0.5,0,24,16.7
2021_11_9,火,15.7,曇時々雨,曇時々晴,1004.7,0,11.5,0,17.6,12.8,15.3,雨時々曇,晴一時曇,998.5,0,2.9,27.5,0,18.3,13.5
2021_11_10,水,13.8,雨時々晴後曇,曇後雨時々晴、雷を伴う,1003.4,2.5,4,0,16.4,10.6,14.4,晴時々曇一時雨,曇時々雨一時晴,997.2,3.7,10.01,2,0,17.5,10.6
2021_11_11,木,13,曇後雨一時晴,曇後晴時々雨、雷を伴う,1006.3,1.1,4,0,15.8,10.6,12.9,雨一時曇,曇一時晴後一時雨,1000.1,0.5,3.44,14,0,15.3,11
2021_11_12,金,12,曇時々晴後雨,晴一時雨,1010.6,4.1,4,0,16.1,9.5,12.4,曇時々晴一時雨,晴,1004.4,3.8,10.04,1,0,16.9,9.4
2021_11_13,土,12.4,晴時々曇,曇,1016,6.5,0,1,15.8,8.8,12.1,晴,曇,1009.7,8.8,13.77,0,1,16.6,7.9
2021_11_14,日,14,晴時々曇,晴,1015.9,4.7,0,1,17.7,11,13.4,晴一時曇,快晴,1009.7,5.3,8.79,0,1,17.8,10.2
2021_11_15,月,15.1,晴後一時曇,晴,1016.1,9.2,0,1,19.5,10.1,14.2,晴後一時曇,晴一時曇,1010,9.2,12.84,0,1,18.9,9
2021_11_16,火,15.3,晴後時々曇,曇後晴,1017.3,7.5,0,1,19,11.4,14.5,晴後薄曇,晴一時薄曇,1011.1,8.1,11.94,0,1,18.9,10.1
2021_11_17,水,14.5,晴,曇時々晴,1018.2,9.5,0,1,17.9,11.9,14.2,晴,曇一時晴,1011.9,9.4,13.2,0,1,19,10.4
2021_11_18,木,14.6,曇後晴,晴後曇,1015.5,6.3,0,1,18.1,12.5,14.1,曇後晴,晴時々薄曇,1009.3,6.5,10.4,0,1,19.3,10.6
2021_11_19,金,14.6,晴後時々曇,晴,1014.2,8.9,0,1,18.4,10.8,14.2,晴一時薄曇,晴時々曇,1007.9,8.7,11.35,0,1,19.3,9.8
2021_11_20,土,14.9,晴,晴後一時曇,1015.6,7.3,0,1,20.2,10.4,14.7,晴,晴後一時薄曇,1009.5,7.6,11.18,0,1,20.8,10
2021_11_21,日,15,曇時々晴,曇一時晴後一時雨,1016.2,5.9,0,1,18.7,10.7,14.6,曇,曇一時晴,1010,6.2,9.69,0,1,19,10.1
2021_11_22,月,15.4,大雨後一時曇,曇一時雨,1005,0,33,0,17.9,11.7,14.8,大雨,曇一時雨後晴,998.8,0,1.41,33.5,0,16.8,12.3
2021_11_23,火,9.9,晴後曇一時雨,晴時々曇,1009.1,3.9,0,0,12.3,8,10.6,晴時々曇後一時雨,晴一時曇,1002.7,5.3,9.2,0,0,12.9,8.2
2021_11_24,水,10.6,晴後時々曇,曇時々晴,1012.6,5.2,0,1,13.3,8,11.3,晴,曇一時晴,1006.3,7.3,12.08,0,1,14.5,8.9
2021_11_25,木,13.9,晴後曇一時雨,曇時々晴一時雨,1013.2,4.4,0,0,16.9,10.4,14,晴後時々曇,曇後時々晴,1006.9,5.4,11.12,0,0,17.4,9.9
2021_11_26,金,13.9,晴,晴後一時雨一時曇,1016,8.7,0,0,17.5,9.7,14.1,晴,晴後時々曇,1009.7,9,12.07,0,0,17.8,11
2021_11_27,土,9.1,晴時々雨,晴,1024.7,6.5,0,0,12.5,6.6,9.2,晴一時曇,晴,1018.4,6.4,10.42,0,0,13.1,6.5
2021_11_28,日,9.8,晴,晴,1029.1,8.7,0,1,15.3,6.4,9.3,晴,晴一時薄曇,1022.7,8.7,12.69,0,1,14.6,5.1
2021_11_29,月,10.2,晴,晴,1025.5,9.6,0,1,15,5.8,9.6,晴,晴,1019.2,9.6,12.69,0,1,15.3,4.6
2021_11_30,火,14.2,曇時々晴,大雨時々曇、雷を伴う,1013,5.9,47.5,0,19.3,8.7,13.5,晴後曇,大雨時々曇,1006.9,5.6,10.39,20,0,20.9,7.3
